Number,Easting,Northing,Elevation,Code
2951,479993.3517,1848711.353,349.8238,SP
2952,480027.2429,1848722.395,341.4669,SP
2953,480051.0794,1848731.669,332.8203,SP
2954,480069.986,1848740.493,327.798,SP
2955,480070.6387,1848758.832,325.873,SP
2956,480078.9906,1848759.986,323.5523,SP
2957,480073.9911,1848769.33,323.3365,SP
2958,480062.9834,1848780.659,327.4771,SP
2959,480065.2238,1848791.738,325.8414,SP
2960,480060.5734,1848812.988,327.018,SP
2961,480056.609,1848830.318,327.12,SP
2962,479143.1267,1848619.617,343.6952,SP
2963,479167.1463,1848626.984,338.0542,SP
2964,479184.9361,1848635.266,336.6415,SP
2965,479205.1712,1848640.493,331.2054,SP
2966,479202.4986,1848640.837,331.4174,SP
2967,479207.4333,1848641.815,332.8228,SP
2968,479217.0729,1848640.54,340.7258,SP
2969,479221.4971,1848640.157,343.4077,SP
2970,479247.1841,1848656.724,349.5764,SP
2971,479269.6503,1848666.516,345.3008,SP
2972,479283.8421,1848677.053,337.4026,SP
2973,479194.3771,1848533.542,367.2778,SP
2974,479182.8027,1848526.09,365.6382,SP
2975,479165.9711,1848520.323,362.8819,SP
2976,479218.8636,1848540.322,369.8342,SP
2977,479240.0836,1848548.976,368.8718,SP
2978,479261.0496,1848554.408,357.1323,SP
2979,479228.9781,1848443.295,370.1712,SP
2980,479236.8272,1848446.727,365.6335,SP
2981,479245.0155,1848450.25,361.2657,SP
2982,479256.2945,1848450.476,355.2081,SP
2983,479259.2257,1848448.655,353.0098,SP
2984,479260.6986,1848448.468,353.0189,SP
2985,479292.2588,1848460.538,361.2914,SP
2986,479300.1792,1848463.341,364.2815,SP
2987,479308.228,1848480.221,364.8999,SP
2988,479302.1985,1848560.239,348.7435,SP
2989,479295.623,1848560.355,347.3907,SP
2990,479282.2864,1848553.367,341.8919,SP
2991,479281.152,1848553.125,342.5448,SP
2992,479285.7163,1848556.247,342.1548,SP
2993,479289.935,1848669.96,332.5631,SP
2994,479292.4722,1848671.087,332.0748,SP
2995,479305.5165,1848684.801,336.9002,SP
2996,479318.9067,1848694.179,340.7312,SP
2997,479527.7441,1848855.807,317.5649,SP
2998,479527.3818,1848855.251,316.4423,SP
2999,479524.7829,1848849.638,315.0002,SP
3000,479522.5013,1848850.892,315.0747,SP
3001,479518.8502,1848850.512,315.0371,SP
3002,479513.618,1848847.56,315.4037,SP
3003,479510.0633,1848844.946,315.5087,SP
3004,479508.5215,1848843.245,316.1438,SP
3005,479509.3517,1848836.344,318.3002,SP
3006,479506.8419,1848834.434,318.9505,SP
3007,479504.1426,1848831.483,319.4229,SP
3008,479500.0382,1848827.702,320.4268,SP
3009,479499.9573,1848827.181,320.9424,SP
3010,479544.9648,1848763.914,316.0785,SP
3011,479543.1944,1848763.35,317.8076,SP
3012,479550.3741,1848766.074,315.5046,SP
3013,479555.0621,1848769.121,315.3608,SP
3014,479561.2534,1848771.325,315.6098,SP
3015,479565.9582,1848770.07,315.3199,SP
3016,479568.9048,1848768.345,317.2311,SP
3017,479572.7614,1848767.941,318.3109,SP
3018,479578.0231,1848770.19,318.4872,SP
3019,479581.0532,1848769.803,320.1326,SP
3020,479584.1957,1848771.321,320.6438,SP
3021,479593.4872,1848710.161,319.5309,SP
3022,479590.6882,1848708.181,318.8604,SP
3023,479585.1402,1848705.072,317.8579,SP
3024,479583.0366,1848704.072,316.3837,SP
3025,479582.0517,1848702.619,315.853,SP
3026,479578.825,1848697.365,315.8033,SP
3027,479576.5795,1848692.753,315.6859,SP
3028,479575.0648,1848690.444,315.6375,SP
3029,479572.7222,1848687.943,315.5347,SP
3030,479570.9181,1848686.055,315.5234,SP
3031,479570.3821,1848683.871,315.5773,SP
3032,479570.151,1848683.559,316.841,SP
3033,479661.7495,1848596.066,316.2027,SP
3034,479664.4184,1848597.801,316.0526,SP
3035,479664.4205,1848602.362,318.2254,SP
3036,479668.3279,1848603.431,319.4845,SP
3037,479671.5754,1848605.581,318.6879,SP
3038,479673.3163,1848606.336,319.751,SP
3039,479660.9843,1848592.343,315.9906,SP
3040,479659.5224,1848586.594,315.6472,SP
3041,479659.7871,1848583.01,315.4443,SP
3042,479667.9706,1848573.041,316.0672,SP
3043,479667.3632,1848571.533,317.6464,SP
3044,479705.9921,1848519.855,317.7754,SP
3045,479704.3968,1848518.84,318.2634,SP
3046,479707.9831,1848517.407,316.3401,WL
3047,479710.1519,1848517.384,316.0218,SP
3048,479713.6689,1848517.023,315.9918,SP
3049,479718.2949,1848515.886,315.8603,SP
3050,479721.0414,1848518.347,316.1522,SP
3051,479725.5085,1848520.952,316.2159,SP
3052,479727.4457,1848522.296,316.1433,SP
3053,479729.0353,1848524.209,317.8688,SP
3054,479731.6268,1848525.413,318.1075,SP
3055,479743.1992,1848432.164,319.0826,SP
3056,479741.3898,1848431.674,318.4144,SP
3057,479738.2823,1848431.092,316.658,SP
3058,479735.1091,1848430.394,315.9321,SP
3059,479730.5793,1848430.83,315.5067,SP
3060,479726.6136,1848435.671,315.312,SP
3061,479724.4109,1848438.546,315.6002,SP
3062,479723.4643,1848436.864,316.3638,SP
3063,479721.4407,1848436.331,316.6699,SP
3064,479718.3329,1848435.742,317.6604,SP
3065,479777.7847,1848321.304,320.2279,SP
3066,479776.1856,1848320.474,318.7042,SP
3067,479771.8017,1848318.73,316.8187,SP
3068,479769.5006,1848319.733,315.9865,SP
3069,479765.3284,1848319.859,316.1552,SP
3070,479761.5109,1848318.618,316.1381,SP
3071,479758.1995,1848317.753,316.2777,SP
3072,479755.707,1848317.802,317.3969,SP
3073,479753.6245,1848316.329,318.2608,SP
3074,479751.7761,1848315.073,318.8925,SP
3075,479757.5063,1848317.36,316.7883,WL
3076,481274.692,1848663.487,346.9734,
3077,481274.821,1848663.585,345.1218,TEST GNSS004
3078,481679.4745,1848289.579,357.9484,SP
3079,481664.6678,1848280.286,360.053,SP
3080,481648.1612,1848273.272,362.6146,SP
3081,481639.093,1848270.327,362.8863,SP
3082,481626.444,1848265.48,360.5729,SP
3083,481609.2909,1848259.068,364.6823,SP
3084,481597.1641,1848257.442,362.8702,SP
3085,481575.5447,1848244.67,368.8529,SP
3086,481558.8033,1848237.501,371.1862,SP
3087,481539.4567,1848235.708,375.8506,SP
3088,481523.011,1848229.005,379.4332,SP
